Force, Ch A vs Angular Velocity, Ch 1, Run #3
Angular Velocity, Ch 1 ( rad/s )	Force, Ch A ( N )
10.3	1.77
10.3	1.71
10.3	1.74
10.3	1.75
10.2	1.74
10.2	1.76
10.2	1.71
10.2	1.74
10.1	1.71
10.1	1.67
10.1	1.70
10.1	1.65
10.1	1.68
10.1	1.67
10.1	1.70
10.0	1.73
10.0	1.63
10.0	1.67
10.0	1.62
10.0	1.65
10.0	1.63
10.0	1.66
10.0	1.68
9.9	1.68
9.9	1.63
9.9	1.65
9.9	1.54
9.8	1.57
9.8	1.59
9.8	1.51
9.8	1.55
9.8	1.57
9.8	1.63
9.8	1.56
9.7	1.57
9.7	1.59
9.7	1.56
9.7	1.56
9.6	1.53
9.6	1.50
9.6	1.53
9.6	1.53
9.6	1.54
9.6	1.53
9.6	1.55
9.6	1.55
9.5	1.53
9.5	1.49
9.5	1.50
9.5	1.50
9.5	1.46
9.5	1.43
9.5	1.45
9.5	1.44
9.4	1.43
9.4	1.45
9.4	1.43
9.4	1.43
9.3	1.42
9.3	1.42
9.3	1.40
9.3	1.43
9.3	1.42
9.3	1.44
9.3	1.44
9.3	1.43
9.2	1.43
9.2	1.40
9.2	1.37
9.2	1.36
9.2	1.37
9.2	1.40
9.2	1.40
9.2	1.46
9.1	1.37
9.1	1.34
9.1	1.34
9.0	1.32
9.0	1.33
9.0	1.30
9.0	1.31
9.0	1.36
9.0	1.37
9.0	1.34
9.0	1.34
9.0	1.34
8.9	1.34
8.9	1.31
8.9	1.29
8.9	1.25
8.9	1.26
8.9	1.28
8.9	1.31
8.9	1.28
8.8	1.28
8.8	1.28
8.8	1.28
8.8	1.28
8.7	1.22
8.7	1.25
8.7	1.25
8.7	1.19
8.7	1.20
8.7	1.19
8.7	1.22
8.7	1.22
8.6	1.22
8.6	1.22
8.6	1.22
8.6	1.20
8.6	1.19
8.6	1.20
8.6	1.22
8.6	1.22
8.5	1.23
8.5	1.23
8.5	1.22
8.5	1.16
8.5	1.16
8.5	1.15
8.5	1.16
8.5	1.16
8.4	1.16
8.4	1.19
8.4	1.16
8.4	1.19
8.4	1.19
8.3	1.16
8.3	1.13
8.3	1.11
8.3	1.13
8.3	1.13
8.3	1.14
8.3	1.15
8.3	1.16
8.2	1.15
8.2	1.16
8.2	1.07
8.2	1.09
8.2	1.08
8.2	1.07
8.2	1.10
8.2	1.10
8.1	1.10
8.1	1.10
8.1	1.13
8.1	1.10
8.1	1.07
8.1	1.07
8.0	1.06
8.1	1.07
8.0	1.10
8.0	1.07
8.0	1.07
8.0	1.07
8.0	1.08
7.9	1.07
7.9	1.03
7.9	1.04
7.9	1.04
7.9	1.01
7.9	1.02
7.9	1.04
7.9	1.05
7.9	1.04
7.8	1.04
7.8	1.04
7.8	1.04
7.8	0.98
