Force, Ch A vs Angular Velocity, Ch 1, Run #6
Angular Velocity, Ch 1 ( rad/s )	Force, Ch A ( N )
14.0	5.86
13.9	5.79
13.9	5.72
13.9	5.80
13.8	5.79
13.8	5.82
13.8	5.93
13.8	5.85
13.8	5.83
13.8	5.55
13.8	5.22
13.7	5.74
13.7	5.71
13.7	5.66
13.7	5.82
13.6	5.67
13.6	5.72
13.6	5.69
13.6	5.71
13.6	5.30
13.6	5.42
13.6	5.48
13.5	5.55
13.5	5.42
13.5	5.59
13.4	5.51
13.4	5.47
13.4	5.56
13.4	5.49
13.4	5.16
13.4	5.33
13.4	5.40
13.4	5.25
13.3	5.32
13.3	5.42
13.3	5.34
13.2	5.46
13.2	5.09
13.2	5.18
13.2	5.24
13.2	5.14
13.2	5.25
13.2	5.18
13.2	5.21
13.1	5.25
13.1	5.19
13.1	5.26
13.1	5.07
13.1	5.19
13.1	5.31
13.1	5.07
13.0	5.10
13.0	5.08
13.0	5.01
13.0	5.16
12.9	5.13
12.9	5.06
12.9	5.06
12.9	5.13
12.9	5.13
12.9	4.80
12.9	4.87
12.8	4.99
12.8	4.85
12.8	4.94
12.7	4.94
12.7	4.91
12.7	4.98
12.7	4.88
12.7	4.92
12.7	4.93
12.7	5.03
12.7	4.96
12.6	4.84
12.6	4.91
12.6	4.94
12.6	4.76
12.5	4.66
12.6	4.76
12.6	4.76
12.5	4.67
12.5	4.75
12.5	4.75
12.5	4.68
12.4	4.83
12.4	4.74
12.4	4.81
12.4	4.69
12.4	4.43
12.4	4.57
12.4	4.64
12.4	4.50
12.3	4.61
12.3	4.73
12.3	4.44
12.2	4.56
12.2	4.61
12.2	4.58
12.2	4.61
12.2	4.64
12.2	4.49
12.2	4.33
12.2	4.53
12.1	4.37
12.1	4.46
12.1	4.55
12.1	4.32
12.1	4.27
12.1	4.38
12.1	4.38
12.0	4.41
12.0	4.39
12.0	4.45
12.0	4.33
11.9	4.48
11.9	4.40
11.9	4.30
11.9	4.32
11.9	4.34
11.9	4.16
11.9	4.14
11.9	4.13
11.8	4.27
11.8	4.05
11.8	4.23
11.8	4.23
11.7	4.24
11.7	3.97
11.7	4.11
11.7	4.09
11.7	4.21
11.7	4.30
11.7	4.27
11.7	3.82
11.6	4.02
11.6	4.10
11.6	4.18
11.6	4.10
11.6	3.70
11.6	3.85
11.6	3.86
11.5	3.93
11.5	3.89
11.5	3.88
11.5	3.90
11.4	3.97
11.4	4.04
11.4	3.71
11.4	3.78
11.4	3.83
11.4	3.94
11.4	3.77
11.4	3.79
11.3	3.91
11.3	3.99
11.3	3.97
11.3	3.72
11.3	3.65
11.3	3.75
11.3	3.88
11.3	3.68
11.2	3.66
11.2	3.78
11.2	3.88
11.2	3.88
11.1	3.42
11.1	3.63
11.1	3.74
11.1	3.82
11.1	3.49
11.1	3.48
11.1	3.57
11.1	3.72
11.0	3.58
11.0	3.58
11.0	3.72
11.0	3.71
11.0	3.30
11.0	3.45
11.0	3.43
11.0	3.54
10.9	3.43
10.9	3.51
10.9	3.44
10.9	3.49
10.8	3.52
10.8	3.46
10.8	3.59
10.8	3.43
10.8	3.50
10.8	3.44
10.8	3.48
10.8	3.48
10.7	3.52
10.7	3.50
10.7	3.51
10.7	3.47
10.7	3.31
10.7	3.34
10.7	3.45
10.7	3.33
10.6	3.40
10.6	3.50
10.6	3.35
10.6	3.39
10.5	3.36
10.5	3.39
10.5	3.36
10.5	3.36
10.5	3.39
10.5	3.36
10.5	3.41
10.5	3.33
10.4	3.36
10.4	3.34
10.4	3.24
10.4	3.26
10.4	3.20
10.4	2.87
10.4	2.96
10.4	3.03
10.4	3.02
10.3	3.05
10.3	2.98
10.3	3.05
10.3	2.99
10.2	3.05
10.2	2.99
10.2	3.03
10.2	2.99
10.2	3.06
10.2	3.02
10.2	3.05
10.2	3.02
10.1	3.02
10.1	2.99
10.1	3.02
10.1	3.02
10.1	2.98
10.1	3.00
10.1	3.05
10.1	3.05
10.1	3.08
10.0	3.08
10.0	3.05
10.0	3.11
10.0	3.02
10.0	3.11
10.0	3.08
10.0	2.85
10.0	2.92
9.9	2.93
9.9	2.92
9.9	2.99
9.9	2.93
9.8	2.99
9.8	2.91
9.8	2.93
9.8	3.03
9.8	2.90
9.8	2.99
9.8	3.06
9.8	2.86
9.8	2.93
9.7	2.96
9.7	2.98
9.7	2.96
9.7	2.81
9.7	2.89
9.7	2.82
9.7	2.90
9.7	2.86
9.6	2.93
9.6	2.97
9.6	2.90
9.6	2.85
9.6	2.44
9.6	2.61
9.6	2.56
9.6	2.63
9.5	2.59
9.5	2.66
9.5	2.62
9.5	2.60
9.5	2.64
9.4	2.66
9.4	2.62
9.4	2.72
9.4	2.64
9.4	2.63
9.4	2.72
9.4	2.74
9.4	2.86
9.4	2.81
9.3	2.63
9.3	2.61
9.3	2.50
9.3	2.50
9.3	2.47
9.3	2.45
9.3	2.50
9.3	2.59
9.2	2.62
9.2	2.66
9.2	2.55
9.2	2.58
9.2	2.56
9.2	2.48
9.2	2.53
9.2	2.55
9.2	2.44
9.1	2.42
9.1	2.44
9.1	2.41
9.1	2.40
9.1	2.47
9.0	2.47
9.0	2.57
9.0	2.32
9.0	2.32
9.0	2.38
9.0	2.33
9.0	2.35
9.0	2.35
8.9	2.37
8.9	2.35
8.9	2.44
8.9	2.31
8.9	2.35
8.9	2.33
8.9	2.38
8.9	2.35
8.9	2.44
8.8	2.32
8.8	2.34
8.8	2.40
8.8	2.35
8.8	2.38
8.8	2.38
8.8	2.30
8.8	2.35
8.8	2.38
8.7	2.34
8.7	2.38
8.7	2.32
8.7	2.38
8.7	2.29
8.7	2.16
8.7	2.20
8.7	2.26
8.7	2.38
8.6	2.35
8.6	2.20
8.6	2.17
8.6	2.20
8.6	2.21
8.5	2.23
8.5	2.14
8.5	2.20
8.5	2.23
8.5	2.21
8.5	2.20
8.5	2.23
8.5	2.23
8.5	2.23
8.4	2.23
8.4	2.02
8.4	2.11
8.4	2.14
8.4	2.23
8.4	2.06
8.4	2.15
8.4	2.10
8.4	2.08
8.3	2.17
8.3	2.08
8.3	2.11
8.3	2.04
8.3	2.14
8.3	2.07
8.3	2.11
8.3	2.15
8.3	2.08
8.2	2.06
8.2	2.11
8.2	2.12
8.2	2.05
8.2	2.04
8.2	2.08
8.2	2.06
8.2	1.98
8.2	1.98
8.1	1.95
8.1	1.98
8.1	1.98
8.1	2.04
8.1	1.98
8.1	1.97
8.1	2.00
8.1	1.99
8.1	1.96
8.0	1.98
8.0	2.01
8.0	2.01
8.0	1.98
8.0	2.04
8.0	1.89
